Method,Solution Depth,Time
Dijkstra's Algorithm,1,0.001170349
AStar Good Heuristic,1,6.42371E-4
AStar Fast Heuristic,1,4.70978E-4
Parallel BFS,1,8.71243E-4
Shared Parallel BFS,1,8.94636E-4
BFS,1,7.63552E-4
Dijkstra's Algorithm,1,1.29767E-4
AStar Good Heuristic,1,1.32714E-4
AStar Fast Heuristic,1,1.16991E-4
Parallel BFS,1,4.26623E-4
Shared Parallel BFS,1,5.23518E-4
BFS,1,4.47218E-4
Dijkstra's Algorithm,1,5.3364E-5
AStar Good Heuristic,1,1.10925E-4
AStar Fast Heuristic,1,9.0198E-5
Parallel BFS,1,3.8889E-4
Shared Parallel BFS,1,5.97557E-4
BFS,1,5.08457E-4
Dijkstra's Algorithm,1,4.9283E-5
AStar Good Heuristic,1,4.4108E-5
AStar Fast Heuristic,1,4.2582E-5
Parallel BFS,1,4.14441E-4
Shared Parallel BFS,1,4.99029E-4
BFS,1,4.25642E-4
Dijkstra's Algorithm,1,5.9318E-5
AStar Good Heuristic,1,5.5156E-5
AStar Fast Heuristic,1,4.9403E-5
Parallel BFS,1,5.62183E-4
Shared Parallel BFS,1,8.00787E-4
BFS,1,6.75926E-4
Dijkstra's Algorithm,1,7.9422E-5
AStar Good Heuristic,1,5.7304E-5
AStar Fast Heuristic,1,5.0384E-5
Parallel BFS,1,2.95128E-4
Shared Parallel BFS,1,4.04107E-4
BFS,1,3.42959E-4
Dijkstra's Algorithm,1,1.00672E-4
AStar Good Heuristic,1,8.307E-5
AStar Fast Heuristic,1,6.5172E-5
Parallel BFS,1,2.63625E-4
Shared Parallel BFS,1,6.06189E-4
BFS,1,5.10262E-4
Dijkstra's Algorithm,1,6.5931E-5
AStar Good Heuristic,1,4.8218E-5
AStar Fast Heuristic,1,4.2326E-5
Parallel BFS,1,2.6315E-4
Shared Parallel BFS,1,5.70548E-4
BFS,1,4.85856E-4
Dijkstra's Algorithm,1,9.3896E-5
AStar Good Heuristic,1,7.0615E-5
AStar Fast Heuristic,1,6.5634E-5
Parallel BFS,1,2.91975E-4
Shared Parallel BFS,1,3.99287E-4
BFS,1,3.40535E-4
Dijkstra's Algorithm,1,3.9471E-5
AStar Good Heuristic,1,2.9154E-5
AStar Fast Heuristic,1,2.3899E-5
Parallel BFS,1,2.36759E-4
Shared Parallel BFS,1,3.49322E-4
BFS,1,2.96968E-4
